YearsCode,YearsCodeProfessional,Background,SalaryUSD,Education,Age,Country,Blockchain,HTML_CSS,LISP,Java,JavaScript,OCaml,Cplusplus,Scala,PHP,Python,C,Fortran,SQL,R,C_sharp,MATLAB,Julia,Clojure,Ruby,Rust,Haskell
18,16,I am a developer by profession,149301.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Italy,Favorable,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
14,11,I am a developer by profession,51189.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Indifferent,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
7,2,I am a developer by profession,43974.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United Kingdom of Great Britain and Northern Ireland,Favorable,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no
22,12,I am a developer by profession,90647.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Very unfavorable,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no
16,9,I am a developer by profession,190000.0,Some college/university study without earning a degree,25-34 years old,United States of America,Indifferent,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
6,3,I am a developer by profession,125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United States of America,Unfavorable,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
10,4,I am a developer by profession,28374.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,India,Indifferent,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
7,1,I am a developer by profession,51853.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Norway,Very unfavorable,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
20,9,"I am not primarily a developer, but I write code sometimes as part of my work",108689.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Sweden,Favorable,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
20,15,I am a developer by profession,78025.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,Australia,Very unfavorable,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
31,23,I am a developer by profession,150000.0,Some college/university study without earning a degree,35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
15,14,"I am not primarily a developer, but I write code sometimes as part of my work",275866.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Favorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
24,23,I am a developer by profession,140000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Favorable,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no
20,18,I am a developer by profession,135000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United States of America,Unfavorable,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no
44,28,I am a developer by profession,79983.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Finland,Unfavorable,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
10,6,I am a developer by profession,101312.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Spain,Favorable,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
12,4,I am a developer by profession,120000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Unfavorable,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes
26,26,"I am not primarily a developer, but I write code sometimes as part of my work",149000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United States of America,Favorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
33,25,I am a developer by profession,163331.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United Kingdom of Great Britain and Northern Ireland,Unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
10,10,I am a developer by profession,88464.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Australia,Indifferent,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
20,17,"I am not primarily a developer, but I write code sometimes as part of my work",81387.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Australia,Unfavorable,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
12,6,I am a developer by profession,95979.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Germany,Unsure,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
16,12,I am a developer by profession,108891.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,Norway,Very unfavorable,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no
14,10,I am a developer by profession,319931.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Favorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
10,8,I am a developer by profession,200000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
3,2,I am a developer by profession,65000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Unsure,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
18,12,"I am not primarily a developer, but I write code sometimes as part of my work",101312.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Germany,Unfavorable,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
22,14,I am a developer by profession,76783.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Germany,Favorable,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
22,18,I am a developer by profession,118932.0,"Professional degree (JD, MD, etc.)",35-44 years old,Switzerland,Favorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
5,3,I am a developer by profession,44790.0,Some college/university study without earning a degree,25-34 years old,Germany,Very unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
8,6,I am a developer by profession,93335.0,Some college/university study without earning a degree,25-34 years old,Norway,Unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
7,3,I am a developer by profession,77848.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Australia,Favorable,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no
10,5,I am a developer by profession,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Indifferent,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
9,6,"I am not primarily a developer, but I write code sometimes as part of my work",14000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,United States of America,Favorable,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
12,7,I am a developer by profession,59050.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unsure,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
10,10,I am a developer by profession,53322.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Netherlands,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
10,4,I am a developer by profession,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
22,18,I am a developer by profession,64029.0,"Associate degree (A.A., A.S., etc.)",35-44 years old,Canada,Indifferent,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no
15,5,I am a developer by profession,74651.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Netherlands,Unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
6,2,I am a developer by profession,53322.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Germany,Unfavorable,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
25,23,I am a developer by profession,150000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United States of America,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
23,23,I am a developer by profession,127972.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Spain,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
30,15,I am a developer by profession,93701.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Canada,Unfavorable,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
5,3,I am a developer by profession,43209.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Brazil,Indifferent,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
8,3,I am a developer by profession,42657.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Netherlands,Indifferent,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no
12,2,I am a developer by profession,47990.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,France,Very unfavorable,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
15,11,I am a developer by profession,35192.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Spain,Unsure,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
26,18,I am a developer by profession,180000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Unfavorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
11,1,I am a developer by profession,64000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Very unfavorable,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
8,4,I am a developer by profession,10000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Cambodia,Favorable,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
25,20,I am a developer by profession,81049.0,Some college/university study without earning a degree,35-44 years old,Portugal,Unsure,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
10,10,I am a developer by profession,400000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
28,17,I am a developer by profession,113000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,United States of America,Very unfavorable,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no
9,3,I am a developer by profession,61320.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
17,13,I am a developer by profession,88236.0,Some college/university study without earning a degree,25-34 years old,Dominican Republic,Favorable,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no
10,5,I am a developer by profession,57588.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Unfavorable,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
20,0,I am a developer by profession,54893.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Japan,Very unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
14,8,I am a developer by profession,70276.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Canada,Very unfavorable,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
12,8,I am a developer by profession,80000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,Canada,Very unfavorable,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
10,7,I am a developer by profession,79983.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Germany,Very unfavorable,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
23,23,I am a developer by profession,140000.0,"Associate degree (A.A., A.S., etc.)",45-54 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
9,8,I am a developer by profession,60812.0,Some college/university study without earning a degree,45-54 years old,Canada,Indifferent,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
8,5,I am a developer by profession,79983.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Germany,Favorable,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
27,13,I am a developer by profession,106644.0,Primary/elementary school,35-44 years old,France,Very favorable,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no
6,4,I am a developer by profession,37325.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Italy,Favorable,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
11,8,I am a developer by profession,45857.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Unsure,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
15,8,I am a developer by profession,101312.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Germany,Very favorable,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
10,10,I am a developer by profession,113234.0,Some college/university study without earning a degree,45-54 years old,Australia,Very unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
8,3,I am a developer by profession,66000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United States of America,Unfavorable,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no
20,11,"I am not primarily a developer, but I write code sometimes as part of my work",55455.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Portugal,Favorable,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
10,4,I am a developer by profession,84804.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Switzerland,Favorable,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no
9,6,I am a developer by profession,81000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Favorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
6,2,I am a developer by profession,41352.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Australia,Very unfavorable,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
8,6,I am a developer by profession,119600.0,"Associate degree (A.A., A.S., etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
23,22,I am a developer by profession,200000.0,Some college/university study without earning a degree,35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
10,1,I am a developer by profession,15477.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Unsure,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no
30,11,I am a developer by profession,98000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,United States of America,Favorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
13,5,I am a developer by profession,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
7,4,I am a developer by profession,69318.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,France,Indifferent,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no
10,2,I am a developer by profession,43974.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Very unfavorable,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
25,17,"I am not primarily a developer, but I write code sometimes as part of my work",310000.0,"Associate degree (A.A., A.S., etc.)",35-44 years old,United States of America,Unfavorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
27,20,I am a developer by profession,77850.0,Some college/university study without earning a degree,35-44 years old,Spain,Unfavorable,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no
13,8,I am a developer by profession,85315.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Spain,Unfavorable,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no
10,4,I am a developer by profession,46390.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Austria,Indifferent,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no
45,42,I am a developer by profession,200000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,United States of America,Very unfavorable,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
10,3,I am a developer by profession,127388.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Australia,Indifferent,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
20,18,I am a developer by profession,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Unfavorable,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
10,10,"I am not primarily a developer, but I write code sometimes as part of my work",77850.0,Primary/elementary school,35-44 years old,France,Very unfavorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
10,8,I am a developer by profession,47990.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Unsure,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no
5,5,I am a developer by profession,120000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
11,11,I am a developer by profession,93846.0,Primary/elementary school,25-34 years old,Estonia,Unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
15,6,"I am not primarily a developer, but I write code sometimes as part of my work",56786.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Netherlands,Indifferent,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
13,2,I am a developer by profession,102385.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Switzerland,Indifferent,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
13,10,I am a developer by profession,63986.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Favorable,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
40,20,I am a developer by profession,150000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,United States of America,Very favorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no
30,27,I am a developer by profession,180000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
10,6,I am a developer by profession,46923.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Favorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
15,8,I am a developer by profession,175000.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,United States of America,Favorable,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no
9,6,I am a developer by profession,61320.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Unfavorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
11,7,I am a developer by profession,56521.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Austria,Indifferent,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
25,18,I am a developer by profession,160000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,United States of America,Unfavorable,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
9,5,I am a developer by profession,75000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
13,12,I am a developer by profession,83633.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,New Zealand,Favorable,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
14,9,I am a developer by profession,99167.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Canada,Indifferent,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
5,0,I am a developer by profession,36112.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,India,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
20,14,I am a developer by profession,92000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Unfavorable,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no
27,23,I am a developer by profession,58654.0,Some college/university study without earning a degree,35-44 years old,Spain,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
24,24,I am a developer by profession,55000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
13,9,I am a developer by profession,27729.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,India,Very favorable,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
18,16,I am a developer by profession,65000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
7,6,I am a developer by profession,1354.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Ukraine,Indifferent,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
7,4,I am a developer by profession,165000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no
5,5,I am a developer by profession,94600.0,Some college/university study without earning a degree,35-44 years old,United States of America,Very favorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
15,8,I am a developer by profession,58654.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,France,Unfavorable,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
7,3,I am a developer by profession,45857.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,France,Very unfavorable,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
13,9,I am a developer by profession,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
11,8,I am a developer by profession,87948.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Very unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no
,,I am a developer by profession,47278.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,"Iran, Islamic Republic of...",Favorable,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
6,0,"I am not primarily a developer, but I write code sometimes as part of my work",48000.0,Some college/university study without earning a degree,18-24 years old,United States of America,Favorable,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no
14,5,I am a developer by profession,61401.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,Germany,Indifferent,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
12,3,I am a developer by profession,113075.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Favorable,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
17,9,I am a developer by profession,176000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Indifferent,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
5,1,I am a developer by profession,20636.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Favorable,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
30,15,I am a developer by profession,239948.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Netherlands,Very unfavorable,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no
21,10,I am a developer by profession,40205.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unfavorable,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
25,18,I am a developer by profession,95979.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Austria,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
